,station,model MAE,baseline mean MAE,baseline median MAE,model MSE,baseline mean MSE,baseline median MSE,model MAPE,baseline mean MAPE,baseline median MAPE,model MASE,baseline mean MASE,baseline median MASE,model type
112,Piispansilta,0.9690476190476192,3.3159855629293284,1.75,2.048095238095238,13.103983437288248,5.107142857142857,1.7581965304694769,16.54302268574346,6.808992713274069,0.3162073998787321,1.0820305961019767,0.5710379334419363,Gradient Boosting Regressor
113,Piispanportti,0.6142857142857142,1.1923946178913067,0.7976190476190477,1.0100000000000002,1.7494932431256498,1.130952380952381,1.561898874419949,8.380669233154483,5.214603281648353,0.4242974238875878,0.8236069191630099,0.5509288255904726,Gradient Boosting Regressor
114,Piispankallio,0.4214285714285715,0.7948005361084831,0.4166666666666667,0.6623809523809522,0.8646433739287053,0.8214285714285714,1.8049886621315192,6.376574435714481,0.26419658772599947,0.40742967677999703,0.7683990775317739,0.4028259516186411,Bayesian Ridge
115,Pihlajamäki,0.49285714285714294,0.7002062087949765,0.34523809523809523,0.567142857142857,0.6040363494837218,0.44047619047619047,1.4761904761904763,6.213165179794618,0.27262420119562975,0.5133488457534751,0.72931894015079,0.35959218663890763,Bayesian Ridge
116,Peukaloisentie,0.4476190476190477,0.8513156981184473,0.8333333333333334,0.5528571428571428,0.9085855997081702,0.8809523809523809,1.8043436338367216,7.688491581310568,7.532367785824007,0.413504893874409,0.7864348250516834,0.7698229407236336,Light Gradient Boosting Machine
117,Petter Wetterin tie,1.7452380952380955,4.6071916071916075,2.5476190476190474,6.062380952380953,24.492673406678314,8.095238095238095,3.8553170189998127,22.236615828039053,13.608853696854696,0.462975912372881,1.2221935469069714,0.675831140844451,Gradient Boosting Regressor
118,Perämiehenkatu,1.8833333333333333,5.310299654049653,3.1547619047619047,8.400476190476189,32.116029644174674,11.845238095238095,11.339574010906112,37.87285328920576,22.38143282717456,0.3885510241572518,1.0955693995555182,0.6508598065845241,Gradient Boosting Regressor
119,Pernajantie,1.3357142857142859,3.4590100710210745,2.238095238095238,3.0147619047619054,14.31846049835307,6.0,6.193274139533448,23.38605490258224,14.695971801803628,0.39820294973986925,1.0311995822698978,0.6672206287976419,Light Gradient Boosting Machine
120,Pasilan asema,4.361904761904761,8.498102139406486,6.690476190476191,46.89095238095237,89.13102739520508,56.57142857142857,10.594413334847124,30.167733865263536,22.95784335876771,0.6307868097734141,1.228933466053949,0.9675278032004881,Gradient Boosting Regressor
121,Pajamäki,0.5523809523809524,1.2596641502129304,0.8452380952380952,0.8290476190476193,1.8294706181600142,0.9404761904761905,1.375230248502138,10.439347958624117,6.510313802940531,0.385358375373976,0.8787814430431719,0.5896647554213856,Gradient Boosting Regressor
122,Painiitty,0.28333333333333344,0.729400318686033,0.2619047619047619,0.31952380952380954,0.6102072494447014,0.40476190476190477,1.1986188414759844,6.323795378272008,0.18622698346200647,0.30518486424032365,0.7856538961236906,0.2821036560204671,Gradient Boosting Regressor
123,Paciuksenkatu,1.3404761904761904,2.451263492063492,1.7619047619047619,3.424285714285714,7.413416208253968,4.690476190476191,2.233815297494594,13.637618205091982,7.464955804069278,0.5022097797952114,0.918366553106721,0.6600981119866012,Gradient Boosting Regressor
124,Paciuksenkaari,1.1642857142857144,2.7456145457367946,1.7380952380952381,3.4909523809523813,9.96658694474785,5.071428571428571,3.637164154752155,18.59959299345991,9.522156912775781,0.4413170729016099,1.0407123953968733,0.6588168981966773,Gradient Boosting Regressor
125,Paavalinpuisto,1.230952380952381,2.409227403267745,1.8214285714285714,2.5338095238095244,7.566038099932698,4.392857142857143,1.6202902687930252,9.771181196486037,7.095666779129529,0.4253854523993951,0.8325669658148341,0.6294388222157393,Gradient Boosting Regressor
126,Outotec,0.2976190476190477,0.4816348439536846,0.2261904761904762,0.26238095238095244,0.26383855525142375,0.27380952380952384,1.2657184085755513,3.5334356745674893,0.18501339929911356,0.5174986661331201,0.837464508079131,0.39329898626117116,Gradient Boosting Regressor
127,Oulunkylän asema,0.8738095238095239,1.8398379466729229,1.380952380952381,1.4195238095238096,4.0945610333907645,2.5238095238095237,2.9403218216929377,12.604441101153446,9.556633181847232,0.43988488946632814,0.9261937410338784,0.6951859288568673,Light Gradient Boosting Machine
128,Otto Brandtin tie,0.6071428571428571,1.264576074332172,0.9880952380952381,1.1528571428571428,1.7562436380461357,1.130952380952381,1.6355124650055526,10.814624899288951,7.594110552692097,0.4610274335112247,0.9602423139302182,0.7502995486555227,Light Gradient Boosting Machine
129,Otsolahti,0.5999999999999999,1.595908230842006,0.9404761904761905,0.9338095238095238,3.159351995905048,1.4166666666666665,2.700170018654769,12.30461342370277,5.7260598968147445,0.3175955006938864,0.8447554560596024,0.49781834434160777,Gradient Boosting Regressor
130,Otaranta,0.9738095238095238,2.2757542310522445,1.5833333333333333,1.8385714285714285,6.235127923587312,3.2023809523809526,2.9950173165830245,14.064714128750701,8.6895055510247,0.3980146420984501,0.9301444313595182,0.6471387212603162,Gradient Boosting Regressor
131,Orpaanporras,0.5166666666666667,0.8186979412226933,0.36904761904761907,0.7052380952380952,0.8760047061990494,0.5833333333333334,1.9090909090909092,7.35046430910372,0.26268278572426035,0.4707299498746868,0.7459076919372923,0.33623567848191915,Light Gradient Boosting Machine
132,Orionintie,0.7023809523809523,1.1688132888274496,0.7857142857142857,1.495714285714286,1.8782422402021512,2.4047619047619047,2.0491430723399198,7.383918358220031,0.3151770209073067,0.5403715427326033,0.8992177790543182,0.6044834206839291,Orthogonal Matching Pursuit
133,Oravannahkatori,0.6309523809523809,1.2156828020464387,0.8690476190476191,0.829047619047619,1.7095839038663987,1.0357142857142858,4.770170042601595,10.626734487207548,7.539693296673508,0.43314576634512325,0.8345603801830054,0.5965969989281886,Gradient Boosting Regressor
134,Opastinsilta,1.7000000000000002,2.731796116504854,1.5714285714285714,6.21952380952381,8.999821182636188,3.261904761904762,6.601993591302246,16.98676904344888,8.660745562630613,0.5123529053106518,0.823319810004481,0.4736035259174092,Gradient Boosting Regressor
