,Temperature,Cloud Cover,Wind Gust,Precipitation,Sea Level Pressure,Relative Humidity,Snow Depth,Wind Speed,cal_year,cal_month,cal_day,cal_hour,date
15849,17.775000000000013,0.0,8.732142857142849,2.812564995717063e-15,1006.9041666666667,78.32142857142857,0.0,6.285714285714271,2019,8,13,18,2019-08-13 18:00:00
15850,16.771428571428583,0.4166666666666667,7.382142857142851,2.812564995717063e-15,1007.0875000000001,84.96428571428571,0.0,5.478571428571415,2019,8,13,20,2019-08-13 20:00:00
15851,16.53928571428572,1.2083333333333333,7.192857142857136,2.812564995717063e-15,1007.2875,86.17857142857143,0.0,5.207142857142843,2019,8,13,22,2019-08-13 22:00:00
15852,16.510714285714297,3.4166666666666665,7.449999999999993,0.058333333333336145,1006.9125,88.07142857142857,0.0,5.371428571428559,2019,8,14,0,2019-08-14 00:00:00
15853,16.021428571428583,5.583333333333333,7.696428571428565,0.25833333333333613,1006.4000000000001,91.42857142857143,0.0,5.667857142857129,2019,8,14,2,2019-08-14 02:00:00
15854,16.146428571428583,5.75,8.299999999999994,0.6750000000000028,1006.275,90.46428571428571,0.0,6.074999999999987,2019,8,14,4,2019-08-14 04:00:00
15855,16.542857142857155,6.375,10.23214285714285,0.7333333333333362,1006.3208333333333,84.64285714285714,0.0,7.146428571428558,2019,8,14,6,2019-08-14 06:00:00
15856,17.317857142857157,2.5833333333333335,9.489285714285709,0.058333333333336145,1006.7041666666668,74.25,0.0,6.999999999999986,2019,8,14,8,2019-08-14 08:00:00
15857,18.28214285714287,2.25,10.985714285714279,2.812564995717063e-15,1007.1875,68.5,0.0,7.982142857142844,2019,8,14,10,2019-08-14 10:00:00
15858,18.50000000000001,1.7083333333333333,12.824999999999992,2.812564995717063e-15,1007.3833333333333,65.5,0.0,9.078571428571417,2019,8,14,12,2019-08-14 12:00:00
15859,18.50357142857144,1.25,12.739285714285709,2.812564995717063e-15,1007.4375,63.357142857142854,0.0,9.0392857142857,2019,8,14,14,2019-08-14 14:00:00
15860,17.50357142857144,2.5833333333333335,11.874999999999991,2.812564995717063e-15,1007.7791666666668,66.71428571428571,0.0,8.549999999999986,2019,8,14,16,2019-08-14 16:00:00
15861,16.350000000000012,0.20833333333333334,10.70714285714285,2.812564995717063e-15,1008.0083333333336,67.39285714285714,0.0,7.610714285714272,2019,8,14,18,2019-08-14 18:00:00
15862,15.40000000000001,0.3,8.260714285714277,2.812564995717063e-15,1007.625,73.78571428571429,0.0,6.0464285714285575,2019,8,14,20,2019-08-14 20:00:00
15863,15.221428571428584,1.1,6.492857142857135,2.812564995717063e-15,1007.375,77.82142857142857,0.0,4.717857142857129,2019,8,14,22,2019-08-14 22:00:00
15864,14.878571428571442,4.5,7.553571428571423,0.03333333333333615,1006.9375,81.35714285714286,0.0,4.946428571428557,2019,8,15,0,2019-08-15 00:00:00
15865,15.010714285714297,5.0,6.799999999999993,2.812564995717063e-15,1006.6666666666666,80.10714285714286,0.0,4.878571428571415,2019,8,15,2,2019-08-15 02:00:00
15866,15.046428571428581,4.75,7.203571428571422,2.812564995717063e-15,1006.7416666666668,76.25,0.0,5.117857142857129,2019,8,15,4,2019-08-15 04:00:00
15867,15.628571428571442,1.1666666666666667,6.7285714285714215,2.812564995717063e-15,1006.8916666666668,73.21428571428571,0.0,4.982142857142844,2019,8,15,6,2019-08-15 06:00:00
15868,15.885714285714297,4.458333333333333,7.88214285714285,0.11666666666666947,1007.15,74.0,0.0,5.6392857142857,2019,8,15,8,2019-08-15 08:00:00
15869,17.371428571428584,3.375,8.578571428571422,0.11666666666666947,1007.6291666666666,63.32142857142857,0.0,5.828571428571414,2019,8,15,10,2019-08-15 10:00:00
15870,18.42857142857144,3.1666666666666665,10.446428571428566,2.812564995717063e-15,1008.2375000000001,57.214285714285715,0.0,7.39285714285713,2019,8,15,12,2019-08-15 12:00:00
15871,18.692857142857154,2.0,10.257142857142851,0.03333333333333615,1008.8875000000002,56.035714285714285,0.0,7.482142857142845,2019,8,15,14,2019-08-15 14:00:00
15872,18.65714285714287,0.125,10.464285714285706,2.812564995717063e-15,1009.6916666666667,50.035714285714285,0.0,7.560714285714271,2019,8,15,16,2019-08-15 16:00:00
15873,17.15357142857144,0.0,8.292857142857136,2.812564995717063e-15,1010.8958333333334,56.607142857142854,0.0,6.110714285714272,2019,8,15,18,2019-08-15 18:00:00
15874,15.532142857142869,0.0,7.014285714285707,2.812564995717063e-15,1012.1541666666667,71.28571428571429,0.0,5.185714285714272,2019,8,15,20,2019-08-15 20:00:00
15875,14.342857142857156,0.0,5.35714285714285,2.812564995717063e-15,1012.9375,80.17857142857143,0.0,3.9892857142857006,2019,8,15,22,2019-08-15 22:00:00
