,departure,number,departure_name,departure_latitude,departure_longitude
253,Ratapihantie,112.70652173913044,Ratapihantie,60.196431,24.936256
254,Ratsutori,68.42105263157895,Ratsutori,60.217311,24.812419
255,Rautatieläisenkatu,72.3695652173913,Rautatieläisenkatu,60.2014382,24.9332721
256,Rautatientori / itä,307.32608695652175,Rautatientori / itä,60.1708236,24.9425268
257,Rautatientori / länsi,341.30434782608694,Rautatientori / länsi,60.1706061,24.9397601
258,Reiherintie,25.135593220338983,Reiherintie,60.16773050334599,25.047496264887712
259,Relanderinaukio,46.15,Relanderinaukio,60.18588749805257,25.00601922389024
260,Revontulentie,26.632183908045977,Revontulentie,60.171551,24.802938
261,Ritarikatu,78.8804347826087,Ritarikatu,60.17110664588,24.95555819284
262,Roihupelto,30.20689655172414,Roihupelto,60.209287,25.055528
263,Rummunlyöjänkatu,27.88157894736842,Rummunlyöjänkatu,60.217261,24.806279
264,Ruomelantie,24.195652173913043,Ruomelantie,60.174524,24.729314
265,Ruskeasuon varikko,31.83606557377049,Ruskeasuon varikko,60.20767995961701,24.89866789062813
266,Ruutikatu,12.027027027027026,Ruutikatu,60.223377,24.820635
267,Salmisaarenranta,61.3,Salmisaarenranta,60.16478138043,24.90096080349
268,Sammonpuistikko,143.95652173913044,Sammonpuistikko,60.1731473,24.9224112
269,Sateentie,41.632183908045974,Sateentie,60.173424,24.810688
270,Saunalahdentie,57.05434782608695,Saunalahdentie,60.1926305828,24.87922144235
271,Senaatintori,107.66304347826087,Senaatintori,60.1691278,24.9526414
272,Sepetlahdentie,29.880434782608695,Sepetlahdentie,60.152343,24.741234
273,Sepänkatu,174.27173913043478,Sepänkatu,60.1579483,24.9362853
274,Seurasaari,154.7608695652174,Seurasaari,60.188399,24.8847362
275,Siilitie (M),57.559322033898304,Siilitie (M),60.20596244959136,25.04516115672629
276,Siilitie 13,18.339285714285715,Siilitie 13,60.215063371665806,25.04379377901174
277,Siilitie 9,28.152542372881356,Siilitie 9,60.20947670530612,25.03748221566049
278,Siltavoudintie,20.737704918032787,Siltavoudintie,60.23370685633967,24.96539507775229
279,Sofianlehdonkatu,45.16304347826087,Sofianlehdonkatu,60.2032721,24.9513636
280,Stenbäckinkatu,58.29347826086956,Stenbäckinkatu,60.1883091,24.9123717
281,Suomenlahdentie,155.1304347826087,Suomenlahdentie,60.160015,24.741294
282,Suurpellonaukio,21.091954022988507,Suurpellonaukio,60.184596,24.744131
283,Sähkömies,17.333333333333332,Sähkömies,60.188499,24.829985
284,Säteri,13.144736842105264,Säteri,60.213443,24.811572
285,Säterinniitty,21.61842105263158,Säterinniitty,60.214666,24.800486
286,Säterinrinne,10.526315789473685,Säterinrinne,60.214193,24.805613
287,Sörnäinen (M),301.39130434782606,Sörnäinen (M),60.187736,24.96098
288,Takomotie,48.59322033898305,Takomotie,60.2178996331627,24.8710464686467
289,Tammisalon aukio,29.810344827586206,Tammisalon aukio,60.19164687919301,25.06118417092495
290,Tapiolan urheilupuisto,27.517241379310345,Tapiolan urheilupuisto,60.177749,24.784654
291,Tapionaukio,71.63218390804597,Tapionaukio,60.176168,24.805825
292,Tekniikantie,20.471264367816094,Tekniikantie,60.180806,24.824747
293,Teljäntie,42.06666666666667,Teljäntie,60.20969562580255,24.868739477207995
294,Tenholantie,74.07608695652173,Tenholantie,60.2024393,24.9054609
295,Teollisuuskatu,36.28260869565217,Teollisuuskatu,60.193486,24.9487524
296,Teurastamo,131.56521739130434,Teurastamo,60.1896994,24.9711926
297,Thalianaukio,38.6,Thalianaukio,60.22534052315868,24.894792651160333
298,Tietäjä,18.666666666666668,Tietäjä,60.189143,24.807083
299,Tiistiläntie,24.54022988505747,Tiistiläntie,60.156755,24.737664
300,Tiistinkallio,26.71264367816092,Tiistinkallio,60.153737,24.729112
301,Tilkantori,71.1413043478261,Tilkantori,60.2028392,24.8934761
302,Tilkanvierto,146.59782608695653,Tilkanvierto,60.1975329,24.899261
303,Toinen linja,106.3804347826087,Toinen linja,60.183164,24.9441949
304,Tontunmäentie,23.689655172413794,Tontunmäentie,60.176107,24.769667
305,Toppelundinportti,21.91860465116279,Toppelundinportti,60.1624471,24.7848628
306,Toppelundintie,19.20689655172414,Toppelundintie,60.1591405,24.782477
307,Torpanranta,79.07608695652173,Torpanranta,60.1948358,24.8713963
308,Tulisuontie,39.59322033898305,Tulisuontie,60.20207298671284,25.060046596074795
309,Tunnelitie,61.49152542372882,Tunnelitie,60.21661653745581,24.89954369574049
310,Tupasaarentie,29.783333333333335,Tupasaarentie,60.187998177032696,25.015391648483803
311,Tuulimäki,16.033333333333335,Tuulimäki,60.174144,24.806051
312,Tyynenmerenkatu,225.40217391304347,Tyynenmerenkatu,60.156838,24.920661
313,Töölönkatu,164.42391304347825,Töölönkatu,60.1775598,24.9283272
314,Töölönlahden puisto,161.4891304347826,Töölönlahden puisto,60.174646,24.935186
315,Töölönlahdenkatu,365.2717391304348,Töölönlahdenkatu,60.17219068,24.93930791
316,Töölöntori,125.66304347826087,Töölöntori,60.1791231,24.9249114
317,Töölöntulli,130.9673913043478,Töölöntulli,60.19095693226663,24.91282713542788
318,Uimastadion,124.43478260869566,Uimastadion,60.1892172,24.9292286
319,Ulvilantie,42.04347826086956,Ulvilantie,60.2038803,24.8708833
320,Unioninkatu,212.44565217391303,Unioninkatu,60.1674573,24.9510227
321,Upseerinkatu,12.18421052631579,Upseerinkatu,60.216067,24.819396
322,Urheilupuisto (M),104.50574712643679,Urheilupuisto (M),60.17465,24.779428
323,Valimon asema,18.54237288135593,Valimon asema,60.22229427877046,24.875870912746144
324,Valimotie,52.2,Valimotie,60.21592223543679,24.87646479282845
325,Vallikatu,21.533333333333335,Vallikatu,60.228463,24.813871
326,Vallilan varikko,36.904761904761905,Vallilan varikko,60.195225,24.962832
327,Vallipolku,14.89041095890411,Vallipolku,60.227827,24.819614
328,Vanha Kauppahalli,104.34444444444445,Vanha Kauppahalli,60.165343,24.953535
329,Vanha Viertotie,45.483333333333334,Vanha Viertotie,60.21107529627341,24.881660254358646
330,Vanha kirkkopuisto,167.75,Vanha kirkkopuisto,60.1652883,24.9391499
331,Varsapuistikko,140.97826086956522,Varsapuistikko,60.1731029004969,24.9495192737191
332,Velodrominrinne,81.05434782608695,Velodrominrinne,60.2010614,24.9440506
333,Venttiilikuja,121.23913043478261,Venttiilikuja,60.1942095,24.941578
334,Verkatehtaanpuisto,130.9673913043478,Verkatehtaanpuisto,60.2137007,24.9797283
335,Vesakkotie,28.610169491525422,Vesakkotie,60.22794236805671,24.92656476426376
336,Vihdintie,88.32608695652173,Vihdintie,60.208925,24.8895209
337,Viikin normaalikoulu,41.39344262295082,Viikin normaalikoulu,60.227495295832895,25.02761893353016
338,Viikin tiedepuisto,93.39344262295081,Viikin tiedepuisto,60.227520671727405,25.01006206113976
339,Viiskulma,166.08695652173913,Viiskulma,60.1609859,24.9417758
340,Vilhonvuorenkatu,230.0,Vilhonvuorenkatu,60.1864633,24.9678718
341,Voikukantie,50.10344827586207,Voikukantie,60.20899759942336,25.0867821055208
